Id,Name,Type,Phone,BillingGeocodeAccuracy,BillingCity,BillingCountry,BillingLatitude,BillingLongitude,BillingPostalCode,BillingState,BillingStreet
0013C00000ck16qQAA,LES PHARMACIENS ASSOCIES,Customer,0147093894,,Ville-d'Avray,,,,92410,,48 Rue de S̬vres
0013C00000ck16lQAA,PHARMABEST,Customer,0491039090,,Marseille,,,,13008,,348 Avenue du Prado
0013C00000ckJSjQAM,PHARMACIE HEROLD,Customer,0147884080,,COURBEVOIE,France,,,92400,,4 BOULEVARD SAINT DENIS
0013C00000ckJSkQAM,PHARMACIE TREVILLY,Customer,0143330642,,COURBEVOIE,France,,,92400,,77 B RUE DE BEZONS
0013C00000ckJSlQAM,PHARMACIE LE BOURHIS,Customer,0142040997,,NANTERRE,France,,,92000,,123 RUE DE SURESNES
0013C00000ckJSmQAM,PHARMACIE DES ECOLES,Customer,0147211742,,NANTERRE,France,,,92000,,15 RUE DE COURBEVOIE
0013C00000ckJSnQAM,PHARMACIE OULIE CORDELIER,Customer,0147211673,,NANTERRE,France,,,92000,,19 RUE HENRI BARBUSSE
0013C00000ckJSoQAM,PHARMACIE SANTE SERVICE,Customer,0142041748,,NANTERRE,France,,,92000,,242 AVENUE GEORGES CLEMENCEAU
0013C00000ckJSpQAM,PHARMACIE AMANDIERS,Customer,0147213294,,NANTERRE,France,,,92000,,25 RUE SADI CARNOT
0013C00000ckJSqQAM,PHARMACIE CENTRALE,Customer,0147211197,,NANTERRE,France,,,92000,,31 RUE MAURICE THOREZ